name,longitude,latitude,node_type,mesh_group,pan_group
Concentrator1,-81.796917,27.301152,Data Concentrator,1,0
Concentrator2,-81.782507,27.272578,Data Concentrator,2,0
Concentrator3,-81.784778,27.277047,Data Concentrator,3,0
Concentrator4,-81.776202,27.28461,Data Concentrator,4,0
Concentrator5,-81.764911,27.291451,Data Concentrator,5,0
Concentrator6,-81.7549324,27.2830865,Data Concentrator,6,0
Concentrator7,-81.772356,27.310926,Data Concentrator,7,0
Concentrator8,-81.754391,27.302036,Data Concentrator,8,0
Concentrator9,-81.739533,27.310987,Data Concentrator,9,0
Concentrator10,-81.7516708,27.3051299,Data Concentrator,10,0
meter59_PV,-81.7401293,27.3050655,PV Inverter,0,52
meter43_1_PV,-81.7742297,27.285523,PV Inverter,0,22
meter3_PV,-81.773626,27.285678,PV Inverter,0,23
meter18_PV,-81.7877787,27.2785405,PV Inverter,0,13
meter19_PV,-81.7772537,27.2845668,PV Inverter,0,21
meter40_PV,-81.784544,27.277122,PV Inverter,0,17
meter32_PV,-81.7393756,27.3115409,PV Inverter,0,46
meter72_PV,-81.7814621,27.291575,PV Inverter,0,5
meter27_PV,-81.7851529,27.276147,PV Inverter,0,16
meter2_PV,-81.7700306,27.280717,PV Inverter,0,27
meter5_PV,-81.7803866,27.2801544,PV Inverter,0,20
meter44_PV,-81.7710632,27.3099584,PV Inverter,0,40
tm26_PV,-81.7827281,27.2779707,PV Inverter,0,19
tm159_PV,-81.7565793,27.2850364,PV Inverter,0,33
tm11_PV,-81.7507803,27.2770243,PV Inverter,0,36
tm127_1_PV,-81.7711598,27.2975935,PV Inverter,0,41
tm144_PV,-81.7910242,27.2768646,PV Inverter,0,12
tm83_1_PV,-81.744518,27.310023,PV Inverter,0,44
tm46_PV,-81.7557693,27.2837921,PV Inverter,0,34
tm189_PV,-81.7878082,27.2772078,PV Inverter,0,14
tm98_PV,-81.7558149,27.3006157,PV Inverter,0,42
tm141_PV,-81.750724,27.2792842,PV Inverter,0,35
tm87_PV,-81.7721683,27.2886883,PV Inverter,0,24
tm108_PV,-81.7621636,27.2972836,PV Inverter,0,29
tm156_PV,-81.7830849,27.2760922,PV Inverter,0,18
tm161_PV,-81.7957503,27.3004513,PV Inverter,0,3
tm50_PV,-81.7536369,27.3200605,PV Inverter,0,47
tm191_PV,-81.7876393,27.2773771,PV Inverter,0,15
tm19_PV,-81.7430851,27.2724923,PV Inverter,0,37
tm182_PV,-81.7529771,27.3218001,PV Inverter,0,48
tm64_1_PV,-81.7507455,27.2924092,PV Inverter,0,38
tm177_PV,-81.7442545,27.3012998,PV Inverter,0,50
tm24_1_PV,-81.7543074,27.3019767,PV Inverter,0,43
tm102_PV,-81.7509225,27.3058878,PV Inverter,0,49
tm55_PV,-81.7601573,27.2882402,PV Inverter,0,32
tm17_1_PV,-81.8078551,27.300549,PV Inverter,0,2
tm109_PV,-81.790697,27.2985659,PV Inverter,0,4
tm134_PV,-81.772013,27.286387,PV Inverter,0,26
tm104_PV,-81.7853379,27.2676693,PV Inverter,0,8
tm43_PV,-81.7829025,27.2679411,PV Inverter,0,9
tm192_PV,-81.8099123,27.3010805,PV Inverter,0,1
tm110_PV,-81.7430234,27.3027918,PV Inverter,0,51
tm53_PV,-81.7832458,27.2709093,PV Inverter,0,10
tm140_PV,-81.7830366,27.2722873,PV Inverter,0,6
tm65_PV,-81.7806897,27.2711167,PV Inverter,0,11
tm157_PV,-81.7684534,27.2829149,PV Inverter,0,28
tm160_PV,-81.7625794,27.2896561,PV Inverter,0,30
tm138_PV,-81.7830473,27.2721037,PV Inverter,0,7
tm133_PV,-81.7724875,27.2862546,PV Inverter,0,25
tm88_PV,-81.7348695,27.2955865,PV Inverter,0,39
tm83_2_PV,-81.7444637,27.3100299,PV Inverter,0,45
tm149_PV,-81.7614985,27.2882354,PV Inverter,0,31
tm127,-81.771162,27.297613,Smart Meter,7,41
meter19,-81.777253,27.284593,Smart Meter,4,21
meter18,-81.78776,27.278455,Smart Meter,3,13
tm24,-81.75427,27.301948,Smart Meter,8,43
tm13,-81.744224,27.30952,Smart Meter,9,45
tm11,-81.750743,27.277021,Smart Meter,6,36
tm17,-81.807848,27.300579,Smart Meter,1,2
tm19,-81.743088,27.272511,Smart Meter,6,37
tm191,-81.78758,27.277366,Smart Meter,3,15
tm192,-81.809882,27.301069,Smart Meter,1,1
meter59,-81.740162,27.305034,Smart Meter,10,52
tm189,-81.787803,27.277121,Smart Meter,3,14
meter27,-81.785209,27.276108,Smart Meter,3,16
tm55,-81.760112,27.288204,Smart Meter,5,32
tm53,-81.783204,27.270853,Smart Meter,2,10
tm50,-81.753679,27.320031,Smart Meter,10,47
tm98,-81.755766,27.300527,Smart Meter,8,42
tm87,-81.772179,27.288711,Smart Meter,4,24
tm138,-81.783009,27.272102,Smart Meter,2,7
tm83,-81.744508,27.310023,Smart Meter,9,44
tm134,-81.772003,27.286387,Smart Meter,4,26
tm141,-81.750701,27.279294,Smart Meter,6,35
tm140,-81.783081,27.272296,Smart Meter,2,6
tm144,-81.791072,27.27687,Smart Meter,3,12
meter40,-81.784533,27.277141,Smart Meter,3,17
meter43,-81.774227,27.285554,Smart Meter,4,22
meter44,-81.771116,27.309907,Smart Meter,7,40
tm43,-81.78285,27.267862,Smart Meter,2,9
tm46,-81.755743,27.283696,Smart Meter,6,34
meter32,-81.739374,27.31156,Smart Meter,9,46
tm104,-81.785389,27.267622,Smart Meter,2,8
tm102,-81.750969,27.305852,Smart Meter,10,49
tm109,-81.790756,27.298549,Smart Meter,1,4
tm108,-81.762134,27.297293,Smart Meter,5,29
tm133,-81.772508,27.286261,Smart Meter,4,25
tm88,-81.734835,27.295546,Smart Meter,6,39
tm159,-81.756607,27.284965,Smart Meter,6,33
tm156,-81.783131,27.276102,Smart Meter,3,18
tm157,-81.768491,27.282874,Smart Meter,4,28
meter72,-81.781476,27.291594,Smart Meter,1,5
meter5,-81.780361,27.280149,Smart Meter,3,20
meter3,-81.773638,27.28568,Smart Meter,4,23
meter2,-81.770032,27.280736,Smart Meter,4,27
tm182,-81.752971,27.321816,Smart Meter,10,48
tm161,-81.795789,27.300439,Smart Meter,1,3
tm160,-81.762553,27.289675,Smart Meter,5,30
tm110,-81.742965,27.302796,Smart Meter,10,51
tm26,-81.782686,27.277953,Smart Meter,3,19
tm177,-81.744188,27.301259,Smart Meter,10,50
tm149,-81.761466,27.288244,Smart Meter,5,31
tm65,-81.780697,27.27103,Smart Meter,2,11
tm64,-81.750783,27.292387,Smart Meter,6,38
EdgeRouter1,-81.767722,27.283678,Edge Router,0,0
